sort,grong,gurongtime,gurong way,cuihuo time,shixiao wendu,shixiao time,shixiao way,strength0.2,strength b,shousuo
1,870,30,WQ,60,20,240,AC,,887,5.22
1,900,30,WQ,60,20,240,AC,,925,5.58
1,930,30,WQ,60,20,240,AC,,985,5.81
1,960,30,WQ,60,20,240,AC,,962,3.78
1,930,30,WQ,60,470,240,AC,,1055,4.82
1,930,30,WQ,60,510,240,AC,,1010,4.48
1,930,30,WQ,60,550,240,AC,,995,5.25
1,930,30,WQ,60,590,240,AC,,946,6.03
2,870,30,WQ,60,470,240,AC,902,944,14
2,900,30,WQ,60,470,240,AC,935,986,12
2,930,30,WQ,60,470,240,AC,967,1047,11
2,960,30,WQ,60,470,240,AC,1003,1078,11
2,960,30,WQ,60,510,240,AC,952,1039,13
2,960,30,WQ,60,550,240,AC,927,993,14
2,960,30,WQ,60,590,240,AC,913,970,14
3,954,60,WQ,10,20,270,AC,968,1098,18
3,954,60,WQ,10,550,270,AC,1056,1157,16
3,954,60,WQ,15,550,270,AC,1054,1147,17.5
3,954,60,WQ,20,550,270,AC,1040,1144,16.5
3,954,60,WQ,10,580,300,AC,1022,1128,18
3,954,60,WQ,10,550,300,AC,1061,1177,16
3,954,60,WQ,10,530,300,AC,1042,1141,19
3,954,60,WQ,10,490,300,AC,1010,1123,18
3,954,60,WQ,10,490,480,AC,1000,1122,19
4,952,120,WQ,60,730,240,AC,846,915,16.8
4,967,120,WQ,60,730,240,AC,801,875,11.2
4,997,120,WQ,60,730,240,AC,792,861,9.6
4,1012,120,WQ,60,730,240,AC,775,843,8.2
5,970,60,WQ,60,20,240,AC,1130,1178,12
5,970,WQ,WQ,60,450,240,AC,1183,1210,7.5
5,970,60,WQ,60,500,240,AC,1194,1205,9
5,970,60,WQ,60,550,240,AC,1220,1218,10
5,970,60,WQ,60,600,240,AC,1181,1170,10.4
5,970,60,WQ,60,650,240,AC,1152,1124,13
6,20,60,WQ,60,20,240,AC,700,790,12.81
6,920,60,WQ,60,450,240,AC,890,1000,15
6,920,60,WQ,60,500,240,AC,960,1070,13.82
6,960,60,WQ,60,450,240,AC,960,1050,15.48
6,960,60,WQ,60,500,240,AC,1050,1120,16.28
6,1000,60,WQ,60,450,240,AC,1000,1100,12.08
6,1000,60,WQ,60,500,240,AC,1020,1100,10.23
7,780,90,WQ,60,20,240,AC,830,898,10.5
7,940,60,WQ,60,530,240,AC,979,1054,12.5
7,940,60,WQ,60,600,240,AC,926,972,13
7,940,60,WQ,60,650,240,AC,936,971,13.5
7,940,60,WQ,60,700,240,AC,850,929,12.5
7,940,60,WQ,60,760,240,AC,839,913,12
7,940,60,WQ,60,530,240,AC,844,918,10
8,20,30,WQ,60,20,120,AC,914,2001,19
8,930,30,WQ,60,20,120,AC,995,1757,15.57
8,930,30,WQ,60,500,120,AC,1391,2010,10.95
8,930,30,WQ,60,600,120,AC,1052,1798,9.2
8,930,30,WQ,60,700,120,AC,1198,1664,10.41
8,1030,30,WQ,60,500,120,AC,1026,1 954,16.17
8,1030,30,WQ,60,600,120,AC,961,2001,24.47
8,1030,30,WQ,60,700,120,AC,1189,1994,12.55
9,1030,60,AC,60,530,240,AC,848,949,12.5
9,920,60,AC,60,530,240,AC,909,986,15.5
9,700,120,AC,60,20,240,AC,926,987,15.6
